name,brand,price_rub,price_kzt,seller,seller_id,seller_rating,seller_total_sold,seller_age_months,feedbacks,category,source_file,risk_level,publication_date,first_review_datetime
Тренажер для похудения домашний вращающийся диск,Ари-шоп1,757.0,4542.0,DOMLUCK,4115303.0,4.4,0.0,33.0,0.0,тренажеры,all_products.csv,medium,2023-12-20,2024-01-04
Домашний тренажер эспандер для похудения,AlKarDar,1456.0,8736.0,ИП Карпенко А. В.,768203.0,4.5,0.0,37.0,0.0,эспандеры,all_products.csv,low,2024-01-15,2024-01-21
Тренажер для похудения вращающийся диск здоровья,Lily & Co.2,722.0,4332.0,AIS SHOP,250015555.0,4.4,0.0,18.0,0.0,диски балансировочные,all_products.csv,medium,2025-11-06,2025-11-10
Тренажер для похудения многофункциональный,Айсару,1699.0,10194.0,PENTAKLE SHOP,4106317.0,4.5,0.0,3.0,0.0,тренажеры,all_products.csv,low,2025-09-27,2025-10-09
Многофункциональное кольцо для фитнеса,,1649.0,9894.0,Wo-Mi,4052548.0,4.7,0.0,32.0,0.0,наборы для фитнеса,all_products.csv,low,2025-07-19,2025-08-04
Диск здоровья вращательный утяжелённый,,662.0,3972.0,BRB SHOP,250075919.0,4.7,0.0,6.0,0.0,тренажеры,all_products.csv,low,2025-06-27,2025-07-06
фитнес резинки для ног и ягодиц тканевые,,1057.0,6342.0,Lemon,4149389.0,4.5,0.0,10.0,0.0,тренажеры,all_products.csv,low,2025-11-16,2025-11-20
Диск - тренажëр крутящийся до 150 кг,,705.0,4230.0,Остров красоты,4276799.0,4.6,0.0,32.0,0.0,тренажеры,all_products.csv,low,2023-12-02,2023-12-10
Тренажер виброплатформа для кардио и похудения,,11564.0,69384.0,"ИП ""KAS SAUDA""",250076557.0,4.7,0.0,23.0,0.0,тренажеры,all_products.csv,low,2024-06-24,2024-07-01
Универсальный домашний тренажёр,Зелавия,1154.0,6924.0,Изумруд,250058978.0,4.6,0.0,27.0,0.0,тренажеры,all_products.csv,low,2024-03-13,2024-03-29
Фитнес резинка черная 5-20 кг жгут петли эспандер,FITFILIP,474.0,2844.0,FITFILIP-ORIGINAL,1368853.0,4.9,4425.0,42.0,447.0,эспандеры,all_products.csv,low,2024-03-16,2024-04-02
Тренажёр для ног и ягодиц фитнес дома,Влар,485.0,2910.0,ПОДАРОК МАМЕ,4500626.0,4.6,0.0,25.0,0.0,тренажеры,all_products.csv,low,2025-08-14,2025-08-25
Домашний тренажер для похудения живота,Alesig,757.0,4542.0,ИП Погукаев В.В,1363216.0,4.6,28.0,17.0,3.0,эспандеры,all_products.csv,low,2024-11-07,2024-11-23
"Тренажер для пресса, колесо",Гулька90,1782.0,10692.0,Luna Luminosa,1173887.0,4.5,0.0,11.0,0.0,Unknown Category,all_products.csv,low,2025-04-06,2025-04-10
